aigam.es,DomainSure,cname.vercel-dns.com.,,,,
bargainer.ai,DomainSure,cname.vercel-dns.com.,,,,
iguanadex.com,DomainSure,cname.vercel-dns.com.,,,,
jstz.dev,DomainSure,cname.vercel-dns.com.,,,,
jstz.io,DomainSure,,,,,
kanvas.pro,ns75.domaincontrol.com.,kanvas.pro.,,,,
kanvaslabs.io,DomainSure,kanvaslabs.io.,100 mail.kanvaslabs.io.,,,
kanvaslabs.xyz,ns47.domaincontrol.com.,kanvaslabs.xyz.,,,,
kanvasnft.xyz,DomainSure,,,,,
optimisticlabs.io,DomainSure,,,,,
optimisticlabs.xyz,DomainSure,,,,,
optimisticlabsltd.com,DomainSure,,Google,,,
trili.tech,Cloudflare,wwwcname.vercel-dns.com.,Google,"v=spf1 include:_spf.mlsend.com include:_spf.google.com ~all",DKIM,"v=DMARC1; p=reject; rua=mailto:adtec@trili.tech"
trilitech.co,,,,,,
trilitech.co.uk,ns4.iwantmyname.net.,62.116.130.8,,,,
trilitech.dev,,,,,,
trilitech.io,,,,,,
trilitech.london,,,,,,
trilitech.net,,,,,,
trilitech.org,,,,,,
trilitech.uk,ns3.iwantmyname.net.,62.116.130.8,,,,
umamini.com,Google,cname.vercel-dns.com.,,,,
umamiwallet.com,Google,cname.vercel-dns.com.,,,,
zenbox.bot,DomainSure,,Google,,,
zenbox.tech,DomainSure,,Google,,,
